student_id,hours_studied,sleep_hours,attendance_percent,previous_scores,exam_score
S149,9.114557055860873,7.581791972509231,85.59620759651156,54,45.19516488275645
S045,3.8068856116783856,4.563692567425011,58.875921033764506,97,47.797387929728885
S024,10.443512375276159,6.909340212467848,74.64730423527587,95,29.884228445814138
S055,14.99903233197194,9.92356781190689,84.50046661479212,61,38.46397090968501
S185,-1.7216053647505558,9.533755845060538,49.31156402143099,58,40.70576423026098
S167,6.368018418967569,4.380998907238604,64.25165791280882,52,28.581630895953833
S171,4.748614022605793,8.361559647427509,61.28889436920125,85,52.023026231580246
S108,11.001452347923887,6.994170306947949,62.72523470323114,63,45.253817496802945
S062,7.301291691050846,6.924916416335657,74.38483717050381,59,18.106546923486516
S144,9.463747026626983,7.027242736914733,75.74387603842399,83,49.02325508515468
S082,6.787991605556252,6.171052969218865,37.27256559413542,64,38.170408334756864
S066,3.652352723923889,9.594584990323106,42.34188006914134,79,51.341206296050075
S125,4.176504962441847,5.499052142956816,101.73797204958913,95,44.4569967153756
S092,13.921193353947663,8.261270819232239,88.13532303470332,88,47.985346638850324
S004,9.17148979770462,9.273938205604761,59.90728634820074,77,48.04801757533093
S135,6.9157350505785855,10.734021510518149,68.56636681810099,58,51.09046457279752
S062,4.713305037066619,6.896211448245826,87.69034765722618,85,23.385944734118763
S120,7.1715522025168035,7.463892202492204,90.88788360862927,67,48.64070699304675
S163,6.493262552022706,6.29186221895215,67.39999253395247,83,41.96990481366449
S167,8.138449558009565,9.695590116665958,86.94607170276296,89,45.40528576631708
S162,13.181091680565922,6.854276935779664,78.72535850012483,63,39.713727660458886
S039,5.7850259404797315,6.544517461745512,83.14364969268783,85,46.14920480675795
S139,5.846953014167119,5.350419926309968,46.936190627806425,55,31.061140369696453
S173,3.501788932915821,4.17306933125967,89.36839887285113,66,49.52063929807504
S108,15.285807932559646,5.197634178983069,99.60729449925529,56,30.924325309100478
S035,3.0819735450491326,9.459193894814405,79.89695151009832,60,25.7321012008659
S046,1.3627941378549213,4.348918324809126,98.08213084605275,80,60.667367776530156
S016,4.376842569232544,9.42786425301431,56.62488922800941,66,30.501351311784468
S095,8.06832459565112,7.596802432632429,85.47318097286856,96,30.497915222660893
S068,3.6533332584980203,7.321088429661575,67.5431322823045,35,37.348406562344216
S083,5.532115637934565,7.9680961490077715,95.5946774336461,110,52.763224002225414
S068,9.26068652283684,8.473132834988052,80.51560496831083,44,29.366496369079538
S124,13.392466914236746,5.883044322169831,108.44493299928833,55,43.93470976516845
S025,9.694423145142196,5.67664418838865,100.58831805887804,56,39.89695176901607
S091,12.974791620915084,7.963990803805088,72.26217300329904,42,53.54193791707768
S059,5.534781865225022,8.500384721524489,66.10372195745128,75,37.301836652657045
S182,14.20261796380144,8.456299531300683,88.4666737835293,104,48.598099813650975
S082,6.53728170036097,8.961825085622513,70.62109292782947,44,25.095383153850797
S092,8.898585898422416,5.693009546803408,44.08876745715436,81,17.585579883129878
S163,11.290684756553127,9.27124357107957,85.30464707939548,30,46.75202700249447
S038,3.835360475645491,9.757853230004379,53.672258846405484,62,45.934837170565594
S092,2.264046097481786,10.746533064884053,53.129062437956144,55,36.03780485014792
S101,11.78820621530164,7.338006403978651,97.50043041932359,41,36.85272596932013
S019,4.226858304934299,7.867156885348707,88.12921722080188,99,46.71621381547507
S064,6.741021313758235,6.898620434622067,82.27877531351787,76,38.985114037519736
